year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes,version,notes
1976,Alabama,AL,1,63,41,US President,"Carter, Jimmy",democrat,NO,659170,1182850,20171015,
1976,Alabama,AL,1,63,41,US President,"Ford, Gerald",republican,NO,504070,1182850,20171015,
1976,Alabama,AL,1,63,41,US President,"Maddox, Lester",american independent party,NO,9198,1182850,20171015,
1976,Alabama,AL,1,63,41,US President,"Bubar, Benjamin """"Ben""""",prohibition,NO,6669,1182850,20171015,
1976,Alabama,AL,1,63,41,US President,"Hall, Gus",communist party use,NO,1954,1182850,20171015,
1976,Alabama,AL,1,63,41,US President,"Macbride, Roger",libertarian,NO,1481,1182850,20171015,
1976,Alabama,AL,1,63,41,US President,,,YES,308,1182850,20171015,
1976,Alaska,AK,2,94,81,US President,"Ford, Gerald",republican,NO,71555,123574,20171015,
1976,Alaska,AK,2,94,81,US President,"Carter, Jimmy",democrat,NO,44058,123574,20171015,
1976,Alaska,AK,2,94,81,US President,"Macbride, Roger",libertarian,NO,6785,123574,20171015,
1976,Alaska,AK,2,94,81,US President,,,YES,1176,123574,20171015,
1976,Arizona,AZ,4,86,61,US President,"Ford, Gerald",republican,NO,418642,742719,20171015,
1976,Arizona,AZ,4,86,61,US President,"Carter, Jimmy",democrat,NO,295602,742719,20171015,
1976,Arizona,AZ,4,86,61,US President,"McCarthy, Eugene """"Gene""""",independent,NO,19229,742719,20171015,
1976,Arizona,AZ,4,86,61,US President,"Macbride, Roger",libertarian,NO,7647,742719,20171015,
1976,Arizona,AZ,4,86,61,US President,"Camejo, Peter",socialist workers,NO,928,742719,20171015,
1976,Arizona,AZ,4,86,61,US President,"Anderson, Thomas J.",american,NO,564,742719,20171015,
1976,Arizona,AZ,4,86,61,US President,"Maddox, Lester",american independent party,NO,85,742719,20171015,
1976,Arizona,AZ,4,86,61,US President,,,YES,22,742719,20171015,
1976,Arkansas,AR,5,71,42,US President,"Carter, Jimmy",democrat,NO,498604,767535,20171015,
1976,Arkansas,AR,5,71,42,US President,"Ford, Gerald",republican,NO,267903,767535,20171015,
1976,Arkansas,AR,5,71,42,US President,,independent,NO,639,767535,20171015,
1976,Arkansas,AR,5,71,42,US President,"Maddox, Lester",american independent party,NO,389,767535,20171015,
1976,California,CA,6,93,71,US President,"Ford, Gerald",republican,NO,3882244,7803770,20171015,
1976,California,CA,6,93,71,US President,"Carter, Jimmy",democrat,NO,3742284,7803770,20171015,
1976,California,CA,6,93,71,US President,"Macbride, Roger",independent,NO,56388,7803770,20171015,
1976,California,CA,6,93,71,US President,"Maddox, Lester",american independent party,NO,51098,7803770,20171015,
1976,California,CA,6,93,71,US President,"Wright, Margaret",peace & freedom,NO,41731,7803770,20171015,
1976,California,CA,6,93,71,US President,"Camejo, Peter",independent,NO,17259,7803770,20171015,
1976,California,CA,6,93,71,US President,"Hall, Gus",independent,NO,12766,7803770,20171015,
1976,Colorado,CO,8,84,62,US President,"Ford, Gerald",republican,NO,584278,1081440,20171015,
1976,Colorado,CO,8,84,62,US President,"Carter, Jimmy",democrat,NO,460801,1081440,20171015,
1976,Colorado,CO,8,84,62,US President,"McCarthy, Eugene """"Gene""""",independent,NO,26047,1081440,20171015,
1976,Colorado,CO,8,84,62,US President,"Macbride, Roger",libertarian,NO,5338,1081440,20171015,
1976,Colorado,CO,8,84,62,US President,"Bubar, Benjamin """"Ben""""",prohibition,NO,2886,1081440,20171015,
1976,Colorado,CO,8,84,62,US President,"Camejo, Peter",socialist workers,NO,1122,1081440,20171015,
1976,Colorado,CO,8,84,62,US President,"Larouche, Lyndon, Jr.",u.s. labor,NO,565,1081440,20171015,
1976,Colorado,CO,8,84,62,US President,"Hall, Gus",communist party use,NO,403,1081440,20171015,
1976,Connecticut,CT,9,16,1,US President,"Ford, Gerald",republican,NO,719261,1386355,20171015,
1976,Connecticut,CT,9,16,1,US President,"Carter, Jimmy",democrat,NO,647895,1386355,20171015,
1976,Connecticut,CT,9,16,1,US President,Scattering,,NO,10309,1386355,20171015,
1976,Connecticut,CT,9,16,1,US President,"Maddox, Lester",american independent party,NO,7101,1386355,20171015,
1976,Connecticut,CT,9,16,1,US President,"Larouche, Lyndon, Jr.",u.s. labor,NO,1789,1386355,20171015,
1976,Delaware,DE,10,51,11,US President,"Carter, Jimmy",democrat,NO,122461,235642,20171015,
1976,Delaware,DE,10,51,11,US President,"Ford, Gerald",republican,NO,109780,235642,20171015,
1976,Delaware,DE,10,51,11,US President,,no party affiliation,NO,2432,235642,20171015,
1976,Delaware,DE,10,51,11,US President,"Anderson, Thomas J.",american,NO,645,235642,20171015,
1976,Delaware,DE,10,51,11,US President,"Larouche, Lyndon, Jr.",u.s. labor,NO,135,235642,20171015,
1976,Delaware,DE,10,51,11,US President,"Bubar, Benjamin """"Ben""""",prohibition,NO,103,235642,20171015,
1976,Delaware,DE,10,51,11,US President,,socialist labor,NO,86,235642,20171015,
1976,District of Columbia,DC,11,53,55,US President,"Carter, Jimmy",democrat,NO,137818,168830,20171015,
1976,District of Columbia,DC,11,53,55,US President,"Ford, Gerald",republican,NO,27873,168830,20171015,
1976,District of Columbia,DC,11,53,55,US President,Other,,NO,1656,168830,20171015,
1976,District of Columbia,DC,11,53,55,US President,,independent,NO,1195,168830,20171015,
1976,District of Columbia,DC,11,53,55,US President,,,YES,288,168830,20171015,
1976,Florida,FL,12,59,43,US President,"Carter, Jimmy",democrat,NO,1636000,3150631,20171015,
1976,Florida,FL,12,59,43,US President,"Ford, Gerald",republican,NO,1469531,3150631,20171015,
1976,Florida,FL,12,59,43,US President,"McCarthy, Eugene """"Gene""""",independent,NO,23643,3150631,20171015,
1976,Florida,FL,12,59,43,US President,"Anderson, Thomas J.",american,NO,21325,3150631,20171015,
1976,Florida,FL,12,59,43,US President,,,YES,132,3150631,20171015,
1976,Georgia,GA,13,58,44,US President,"Carter, Jimmy",democrat,NO,979409,1463152,20171015,
1976,Georgia,GA,13,58,44,US President,"Ford, Gerald",republican,NO,483743,1463152,20171015,
1976,Hawaii,HI,15,95,82,US President,"Carter, Jimmy",democrat,NO,147375,291301,20171015,
1976,Hawaii,HI,15,95,82,US President,"Ford, Gerald",republican,NO,140003,291301,20171015,
1976,Hawaii,HI,15,95,82,US President,"Macbride, Roger",libertarian,NO,3923,291301,20171015,
1976,Idaho,ID,16,82,63,US President,"Ford, Gerald",republican,NO,204151,340932,20171015,
1976,Idaho,ID,16,82,63,US President,"Carter, Jimmy",democrat,NO,126549,340932,20171015,
1976,Idaho,ID,16,82,63,US President,"Maddox, Lester",american,NO,5935,340932,20171015,
1976,Idaho,ID,16,82,63,US President,"Macbride, Roger",libertarian,NO,3558,340932,20171015,
1976,Idaho,ID,16,82,63,US President,"Larouche, Lyndon, Jr.",u.s. labor,NO,739,340932,20171015,
1976,Illinois,IL,17,33,21,US President,"Ford, Gerald",republican,NO,2364269,4721282,20171015,
1976,Illinois,IL,17,33,21,US President,"Carter, Jimmy",democrat,NO,2271295,4721282,20171015,
1976,Illinois,IL,17,33,21,US President,"McCarthy, Eugene """"Gene""""",independent,NO,55939,4721282,20171015,
1976,Illinois,IL,17,33,21,US President,"Hall, Gus",communist party use,NO,9250,4721282,20171015,
